name	component	type	tracked_point	units	sampling_frequency
pelvis_gyro_z	z	GYRO	pelvis	deg/s	200
pelvis_magn_x	x	MAGN	pelvis	Gauss	200
pelvis_magn_y	y	MAGN	pelvis	Gauss	200
pelvis_magn_z	z	MAGN	pelvis	Gauss	200
left_thigh_accelel_x	x	ACCEL	left_thigh	g	200
left_thigh_accelel_y	y	ACCEL	left_thigh	g	200
left_thigh_accelel_z	z	ACCEL	left_thigh	g	200
left_thigh_gyro_x	x	GYRO	left_thigh	deg/s	200
left_thigh_gyro_y	y	GYRO	left_thigh	deg/s	200
left_thigh_gyro_z	z	GYRO	left_thigh	deg/s	200
left_thigh_magn_x	x	MAGN	left_thigh	Gauss	200
left_thigh_magn_y	y	MAGN	left_thigh	Gauss	200
left_thigh_magn_z	z	MAGN	left_thigh	Gauss	200
left_shank_accelel_x	x	ACCEL	left_shank	g	200
left_shank_accelel_y	y	ACCEL	left_shank	g	200
left_shank_accelel_z	z	ACCEL	left_shank	g	200
left_shank_gyro_x	x	GYRO	left_shank	deg/s	200
left_shank_gyro_y	y	GYRO	left_shank	deg/s	200
left_shank_gyro_z	z	GYRO	left_shank	deg/s	200
left_shank_magn_x	x	MAGN	left_shank	Gauss	200
left_shank_magn_y	y	MAGN	left_shank	Gauss	200
left_shank_magn_z	z	MAGN	left_shank	Gauss	200
left_foot_accelel_x	x	ACCEL	left_foot	g	200
left_foot_accelel_y	y	ACCEL	left_foot	g	200
left_foot_accelel_z	z	ACCEL	left_foot	g	200
left_foot_gyro_x	x	GYRO	left_foot	deg/s	200
left_foot_gyro_y	y	GYRO	left_foot	deg/s	200
left_foot_gyro_z	z	GYRO	left_foot	deg/s	200
left_foot_magn_x	x	MAGN	left_foot	Gauss	200
left_foot_magn_y	y	MAGN	left_foot	Gauss	200
left_foot_magn_z	z	MAGN	left_foot	Gauss	200
right_thigh_accelel_x	x	ACCEL	right_thigh	g	200
right_thigh_accelel_y	y	ACCEL	right_thigh	g	200
right_thigh_accelel_z	z	ACCEL	right_thigh	g	200
right_thigh_gyro_x	x	GYRO	right_thigh	deg/s	200
right_thigh_gyro_y	y	GYRO	right_thigh	deg/s	200
right_thigh_gyro_z	z	GYRO	right_thigh	deg/s	200
right_thigh_magn_x	x	MAGN	right_thigh	Gauss	200
right_thigh_magn_y	y	MAGN	right_thigh	Gauss	200
right_thigh_magn_z	z	MAGN	right_thigh	Gauss	200
right_shank_accelel_x	x	ACCEL	right_shank	g	200
right_shank_accelel_y	y	ACCEL	right_shank	g	200
right_shank_accelel_z	z	ACCEL	right_shank	g	200
right_shank_gyro_x	x	GYRO	right_shank	deg/s	200
right_shank_gyro_y	y	GYRO	right_shank	deg/s	200
right_shank_gyro_z	z	GYRO	right_shank	deg/s	200
right_shank_magn_x	x	MAGN	right_shank	Gauss	200
right_shank_magn_y	y	MAGN	right_shank	Gauss	200
right_shank_magn_z	z	MAGN	right_shank	Gauss	200
right_foot_accelel_x	x	ACCEL	right_foot	g	200
right_foot_accelel_y	y	ACCEL	right_foot	g	200
right_foot_accelel_z	z	ACCEL	right_foot	g	200
right_foot_gyro_x	x	GYRO	right_foot	deg/s	200
right_foot_gyro_y	y	GYRO	right_foot	deg/s	200
right_foot_gyro_z	z	GYRO	right_foot	deg/s	200
right_foot_magn_x	x	MAGN	right_foot	Gauss	200
right_foot_magn_y	y	MAGN	right_foot	Gauss	200
right_foot_magn_z	z	MAGN	right_foot	Gauss	200
left_ankle_accelel_x	x	ACCEL	left_ankle	g	200
left_ankle_accelel_y	y	ACCEL	left_ankle	g	200
left_ankle_accelel_z	z	ACCEL	left_ankle	g	200
left_ankle_gyro_x	x	GYRO	left_ankle	deg/s	200
left_ankle_gyro_y	y	GYRO	left_ankle	deg/s	200
left_ankle_gyro_z	z	GYRO	left_ankle	deg/s	200
left_ankle_magn_x	x	MAGN	left_ankle	Gauss	200
left_ankle_magn_y	y	MAGN	left_ankle	Gauss	200
left_ankle_magn_z	z	MAGN	left_ankle	Gauss	200
right_ankle_accelel_x	x	ACCEL	right_ankle	g	200
right_ankle_accelel_y	y	ACCEL	right_ankle	g	200
right_ankle_accelel_z	z	ACCEL	right_ankle	g	200
right_ankle_gyro_x	x	GYRO	right_ankle	deg/s	200
right_ankle_gyro_y	y	GYRO	right_ankle	deg/s	200
right_ankle_gyro_z	z	GYRO	right_ankle	deg/s	200
right_ankle_magn_x	x	MAGN	right_ankle	Gauss	200
right_ankle_magn_y	y	MAGN	right_ankle	Gauss	200
right_ankle_magn_z	z	MAGN	right_ankle	Gauss	200
